city,life_gym_membership,life_movie_ticket_multiplex,life_netflix_standard_plan,life_spotify_premium,life_haircut_men_basic_salon,life_domestic_beer_pint_restaurant,life_imported_beer_bottle_restaurant,scraped_date
Mumbai,2500.0,300.0,649.0,119.0,200.0,250.0,450.0,2026-03-31
Delhi,2000.0,280.0,649.0,119.0,150.0,220.0,400.0,2026-03-31
Bangalore,2200.0,250.0,649.0,119.0,150.0,230.0,420.0,2026-03-31
Hyderabad,1500.0,200.0,649.0,119.0,120.0,200.0,380.0,2026-03-31
Chennai,1800.0,200.0,649.0,119.0,120.0,200.0,380.0,2026-03-31
Kolkata,1200.0,200.0,649.0,119.0,100.0,180.0,350.0,2026-03-31
Pune,1800.0,250.0,649.0,119.0,130.0,200.0,380.0,2026-03-31
Ahmedabad,1200.0,200.0,649.0,119.0,100.0,180.0,350.0,2026-03-31
Jaipur,1000.0,180.0,649.0,119.0,80.0,170.0,350.0,2026-03-31
Surat,1200.0,200.0,649.0,119.0,100.0,180.0,350.0,2026-03-31
Lucknow,800.0,170.0,649.0,119.0,70.0,160.0,320.0,2026-03-31
Kanpur,700.0,160.0,649.0,119.0,60.0,150.0,300.0,2026-03-31
Nagpur,1200.0,200.0,649.0,119.0,100.0,180.0,350.0,2026-03-31
Indore,1000.0,200.0,649.0,119.0,80.0,170.0,340.0,2026-03-31
Bhopal,800.0,180.0,649.0,119.0,70.0,160.0,320.0,2026-03-31
Visakhapatnam,1200.0,180.0,649.0,119.0,100.0,190.0,370.0,2026-03-31
Patna,800.0,160.0,649.0,119.0,70.0,160.0,320.0,2026-03-31
Vadodara,1000.0,180.0,649.0,119.0,90.0,170.0,340.0,2026-03-31
Ludhiana,1000.0,180.0,649.0,119.0,80.0,180.0,360.0,2026-03-31
Coimbatore,1200.0,180.0,649.0,119.0,100.0,190.0,370.0,2026-03-31
