city,rest_veg_thali_local_restaurant,rest_nonveg_thali_local_restaurant,rest_meal_for_two_highend_restaurant,rest_chai_regular_cup,rest_coffee_cappuccino,rest_specialty_coffee_third_wave,rest_street_food_vada_pav_samosa,rest_biryani_chicken,rest_dosa_plain,rest_fast_food_combo_mcdonalds,rest_soft_drink_cocacola_300ml,rest_bottled_water_1_litre,scraped_date
Mumbai,150.0,220.0,1800.0,15.0,200.0,300.0,20.0,250.0,80.0,250.0,40.0,20.0,2026-03-31
Delhi,120.0,200.0,1600.0,15.0,190.0,280.0,15.0,220.0,70.0,250.0,40.0,20.0,2026-03-31
Bangalore,130.0,200.0,1500.0,15.0,200.0,300.0,20.0,220.0,60.0,250.0,40.0,20.0,2026-03-31
Hyderabad,100.0,170.0,1200.0,12.0,175.0,250.0,15.0,180.0,55.0,250.0,40.0,20.0,2026-03-31
Chennai,100.0,170.0,1300.0,12.0,180.0,250.0,15.0,200.0,50.0,250.0,40.0,20.0,2026-03-31
Kolkata,90.0,150.0,1100.0,10.0,170.0,220.0,12.0,180.0,55.0,240.0,35.0,20.0,2026-03-31
Pune,120.0,180.0,1400.0,15.0,180.0,280.0,15.0,200.0,65.0,250.0,40.0,20.0,2026-03-31
Ahmedabad,90.0,160.0,1100.0,12.0,170.0,230.0,15.0,180.0,60.0,240.0,35.0,20.0,2026-03-31
Jaipur,80.0,150.0,1000.0,10.0,160.0,200.0,12.0,170.0,55.0,240.0,35.0,20.0,2026-03-31
Surat,90.0,160.0,1100.0,12.0,160.0,287.0,15.0,180.0,60.0,240.0,35.0,20.0,2026-03-31
Lucknow,80.0,140.0,1000.0,10.0,150.0,200.0,10.0,160.0,55.0,230.0,35.0,20.0,2026-03-31
Kanpur,70.0,130.0,900.0,10.0,120.0,253.0,10.0,150.0,50.0,230.0,35.0,20.0,2026-03-31
Nagpur,90.0,150.0,1100.0,10.0,150.0,280.0,12.0,180.0,55.0,240.0,35.0,20.0,2026-03-31
Indore,80.0,140.0,1100.0,10.0,125.0,280.0,12.0,160.0,50.0,250.0,40.0,20.0,2026-03-31
Bhopal,80.0,140.0,1000.0,10.0,120.0,267.0,12.0,150.0,50.0,240.0,35.0,20.0,2026-03-31
Visakhapatnam,90.0,150.0,1100.0,10.0,150.0,280.0,12.0,170.0,45.0,240.0,35.0,20.0,2026-03-31
Patna,70.0,130.0,900.0,10.0,120.0,260.0,10.0,150.0,50.0,230.0,35.0,20.0,2026-03-31
Vadodara,85.0,150.0,1000.0,10.0,150.0,273.0,12.0,170.0,55.0,240.0,35.0,20.0,2026-03-31
Ludhiana,85.0,150.0,1100.0,10.0,140.0,273.0,12.0,180.0,55.0,240.0,35.0,20.0,2026-03-31
Coimbatore,80.0,140.0,1000.0,10.0,150.0,280.0,12.0,170.0,45.0,240.0,35.0,20.0,2026-03-31
