city,shop_mens_casual_shirt_zarahm,shop_womens_dress_myntrazara,shop_running_shoes_nikeadidas,shop_skincare_basics_nykaa_avg,shop_amazon_prime_membership,scraped_date
Mumbai,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Delhi,,,,,,2026-03-31
Bangalore,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Hyderabad,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Chennai,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Kolkata,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Pune,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Ahmedabad,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Jaipur,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Surat,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Lucknow,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Kanpur,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Nagpur,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Indore,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Bhopal,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Visakhapatnam,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Patna,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Vadodara,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Ludhiana,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
Coimbatore,2500.0,2000.0,5500.0,1200.0,149.0,2026-03-31
