city,trans_auto_rickshaw_minimum_fare,trans_auto_rickshaw_per_km_after_min,trans_metro_local_train_monthly_pass,trans_bus_monthly_pass,trans_olauber_avg_ride,trans_petrol,trans_diesel,trans_two_wheeler_emi_avg,trans_car_emi_avg,scraped_date
Mumbai,23.0,16.0,1500.0,900.0,200.0,105.0,92.0,3500.0,15000.0,2026-03-31
Delhi,25.0,11.0,1250.0,800.0,200.0,95.0,88.0,3500.0,15000.0,2026-03-31
Bangalore,30.0,15.0,1400.0,1350.0,200.0,103.0,88.0,3500.0,15000.0,2026-03-31
Hyderabad,25.0,12.0,1100.0,700.0,200.0,109.0,97.0,3500.0,15000.0,2026-03-31
Chennai,25.0,12.0,1200.0,750.0,200.0,103.0,90.0,3500.0,15000.0,2026-03-31
Kolkata,25.0,12.0,800.0,600.0,200.0,105.0,90.0,3500.0,15000.0,2026-03-31
Pune,23.0,14.0,1100.0,700.0,200.0,105.0,90.0,3500.0,15000.0,2026-03-31
Ahmedabad,20.0,12.0,1000.0,600.0,200.0,95.0,88.0,3500.0,15000.0,2026-03-31
Jaipur,20.0,10.0,900.0,550.0,200.0,100.0,90.0,3500.0,15000.0,2026-03-31
Surat,20.0,11.0,800.0,550.0,150.0,95.0,88.0,3500.0,15000.0,2026-03-31
Lucknow,20.0,10.0,850.0,500.0,9.0,95.0,88.0,3500.0,15000.0,2026-03-31
Kanpur,18.0,10.0,700.0,450.0,120.0,95.0,88.0,3500.0,15000.0,2026-03-31
Nagpur,20.0,12.0,800.0,550.0,150.0,104.0,90.0,3500.0,15000.0,2026-03-31
Indore,20.0,10.0,700.0,500.0,135.0,105.0,92.0,3500.0,15000.0,2026-03-31
Bhopal,20.0,10.0,650.0,450.0,135.0,104.0,90.0,3500.0,15000.0,2026-03-31
Visakhapatnam,20.0,11.0,800.0,550.0,150.0,108.0,95.0,3500.0,15000.0,2026-03-31
Patna,20.0,10.0,600.0,400.0,120.0,105.0,92.0,3500.0,15000.0,2026-03-31
Vadodara,18.0,10.0,750.0,500.0,135.0,95.0,88.0,3500.0,15000.0,2026-03-31
Ludhiana,20.0,10.0,700.0,500.0,150.0,97.0,88.0,3500.0,15000.0,2026-03-31
Coimbatore,25.0,12.0,750.0,550.0,150.0,103.0,90.0,3500.0,15000.0,2026-03-31
