bank_name,city,audience_type,interest_rate,loan_amount,tenure_years,emi_amount,total_interest,total_payment
SBI,Mumbai,Salaried - IT/Corporate,8.84,3000000,15,30143.0,2425761.0,5425761.0
SBI,Mumbai,Salaried - IT/Corporate,8.84,3000000,20,26684.0,3404123.0,6404123.0
SBI,Mumbai,Salaried - IT/Corporate,8.84,3000000,25,24848.0,4454404.0,7454404.0
SBI,Mumbai,Salaried - IT/Corporate,8.84,5000000,15,50239.0,4042936.0,9042936.0
SBI,Mumbai,Salaried - IT/Corporate,8.84,5000000,20,44473.0,5673539.0,10673539.0
SBI,Mumbai,Salaried - IT/Corporate,8.84,5000000,25,41413.0,7424007.0,12424007.0
SBI,Mumbai,Salaried - IT/Corporate,8.84,7500000,15,75358.0,6064403.0,13564403.0
SBI,Mumbai,Salaried - IT/Corporate,8.84,7500000,20,66710.0,8510309.0,16010309.0
SBI,Mumbai,Salaried - IT/Corporate,8.84,7500000,25,62120.0,11136010.0,18636010.0
SBI,Mumbai,Salaried - Government/PSU,8.79,3000000,15,30054.0,2409786.0,5409786.0
SBI,Mumbai,Salaried - Government/PSU,8.79,3000000,20,26588.0,3381105.0,6381105.0
SBI,Mumbai,Salaried - Government/PSU,8.79,3000000,25,24746.0,4423767.0,7423767.0
SBI,Mumbai,Salaried - Government/PSU,8.79,5000000,15,50091.0,4016310.0,9016310.0
SBI,Mumbai,Salaried - Government/PSU,8.79,5000000,20,44313.0,5635175.0,10635175.0
SBI,Mumbai,Salaried - Government/PSU,8.79,5000000,25,41243.0,7372945.0,12372945.0
SBI,Mumbai,Salaried - Government/PSU,8.79,7500000,15,75136.0,6024465.0,13524465.0
SBI,Mumbai,Salaried - Government/PSU,8.79,7500000,20,66470.0,8452763.0,15952763.0
SBI,Mumbai,Salaried - Government/PSU,8.79,7500000,25,61865.0,11059418.0,18559418.0
SBI,Mumbai,Self-Employed - Professional,8.89,3000000,15,30232.0,2441760.0,5441760.0
SBI,Mumbai,Self-Employed - Professional,8.89,3000000,20,26780.0,3427178.0,6427178.0
SBI,Mumbai,Self-Employed - Professional,8.89,3000000,25,24950.0,4485089.0,7485089.0
SBI,Mumbai,Self-Employed - Professional,8.89,5000000,15,50387.0,4069600.0,9069600.0
SBI,Mumbai,Self-Employed - Professional,8.89,5000000,20,44633.0,5711964.0,10711964.0
SBI,Mumbai,Self-Employed - Professional,8.89,5000000,25,41584.0,7475149.0,12475149.0
SBI,Mumbai,Self-Employed - Professional,8.89,7500000,15,75580.0,6104400.0,13604400.0
SBI,Mumbai,Self-Employed - Professional,8.89,7500000,20,66950.0,8567946.0,16067946.0
SBI,Mumbai,Self-Employed - Professional,8.89,7500000,25,62376.0,11212724.0,18712724.0
SBI,Mumbai,Self-Employed - Business,8.89,3000000,15,30232.0,2441760.0,5441760.0
SBI,Mumbai,Self-Employed - Business,8.89,3000000,20,26780.0,3427178.0,6427178.0
SBI,Mumbai,Self-Employed - Business,8.89,3000000,25,24950.0,4485089.0,7485089.0
SBI,Mumbai,Self-Employed - Business,8.89,5000000,15,50387.0,4069600.0,9069600.0
SBI,Mumbai,Self-Employed - Business,8.89,5000000,20,44633.0,5711964.0,10711964.0
SBI,Mumbai,Self-Employed - Business,8.89,5000000,25,41584.0,7475149.0,12475149.0
SBI,Mumbai,Self-Employed - Business,8.89,7500000,15,75580.0,6104400.0,13604400.0
SBI,Mumbai,Self-Employed - Business,8.89,7500000,20,66950.0,8567946.0,16067946.0
SBI,Mumbai,Self-Employed - Business,8.89,7500000,25,62376.0,11212724.0,18712724.0
SBI,Mumbai,Self-Employed - SME,8.89,3000000,15,30232.0,2441760.0,5441760.0
SBI,Mumbai,Self-Employed - SME,8.89,3000000,20,26780.0,3427178.0,6427178.0
SBI,Mumbai,Self-Employed - SME,8.89,3000000,25,24950.0,4485089.0,7485089.0
