city,expat_eggs_12_inr,scraped_date
Ahmedabad,126.0,2026-03-22
Bangalore,118.0,2026-03-22
Bhopal,85.0,2026-03-22
Chennai,,2026-03-22
Coimbatore,81.0,2026-03-22
Delhi,,2026-03-22
Hyderabad,163.0,2026-03-22
Indore,84.0,2026-03-22
Jaipur,127.0,2026-03-22
Kanpur,134.0,2026-03-22
Kolkata,87.0,2026-03-22
Lucknow,85.0,2026-03-22
Ludhiana,76.0,2026-03-22
Mumbai,114.0,2026-03-22
Nagpur,70.0,2026-03-22
Patna,96.0,2026-03-22
Pune,137.0,2026-03-22
Surat,67.0,2026-03-22
Vadodara,74.0,2026-03-22
Visakhapatnam,72.0,2026-03-22
