loan_id,bank_name,bank_type,city,audience_type,interest_rate,processing_fee,min_loan_amount,max_loan_amount,min_tenure_years,max_tenure_years,prepayment_charges,foreclosure_charges,avg_salary_required,affordable_loan_amount,special_offers,scraped_date
1,SBI,Public Sector,Mumbai,Salaried - IT/Corporate,8.96,0.38,300000,7409005,5,30,0,0,22000,2452196,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
2,SBI,Public Sector,Mumbai,Salaried - Government/PSU,8.91,0.53,300000,9387771,5,30,0,0,22000,2460999,"No processing fee for women applicants, 0.05% concession for CASA customers, Special rates for govt employees",2026-03-31
3,SBI,Public Sector,Mumbai,Self-Employed - Professional,9.01,0.36,300000,12024283,5,30,0,0,22000,2443442,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
4,SBI,Public Sector,Mumbai,Self-Employed - Business,9.01,0.47,300000,11351360,5,30,3,4,22000,2443442,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
5,SBI,Public Sector,Mumbai,Self-Employed - SME,9.01,0.54,300000,11201747,5,30,0,2,22000,2443442,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
6,SBI,Public Sector,Mumbai,Self-Employed - Startup,9.16,0.36,300000,7018820,5,30,0,0,22000,2417471,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
7,SBI,Public Sector,Mumbai,Women Applicants,8.96,0.36,300000,13866854,5,30,0,2,22000,2452196,"No processing fee for women applicants, 0.05% concession for CASA customers, 0.05% interest concession",2026-03-31
8,SBI,Public Sector,Mumbai,Senior Citizens,9.11,0.61,300000,14254731,5,30,0,0,22000,2426080,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
9,SBI,Public Sector,Mumbai,NRIs,9.21,0.68,300000,7035966,5,30,2,3,22000,2408910,"No processing fee for women applicants, 0.05% concession for CASA customers, Special NRI home loan schemes",2026-03-31
10,SBI,Public Sector,Mumbai,First Time Home Buyers,9.01,0.63,300000,8961299,5,30,0,3,22000,2443442,"No processing fee for women applicants, 0.05% concession for CASA customers, Subsidy under PMAY scheme",2026-03-31
11,SBI,Public Sector,Delhi,Salaried - IT/Corporate,8.6,0.38,300000,14973683,5,30,0,0,20800,2379419,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
12,SBI,Public Sector,Delhi,Salaried - Government/PSU,8.55,0.71,300000,14697071,5,30,2,0,20800,2388086,"No processing fee for women applicants, 0.05% concession for CASA customers, Special rates for govt employees",2026-03-31
13,SBI,Public Sector,Delhi,Self-Employed - Professional,8.65,0.37,300000,13104610,5,30,0,0,20800,2370801,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
14,SBI,Public Sector,Delhi,Self-Employed - Business,8.65,0.48,300000,10612253,5,30,2,2,20800,2370801,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
15,SBI,Public Sector,Delhi,Self-Employed - SME,8.65,0.42,300000,8448884,5,30,0,3,20800,2370801,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
16,SBI,Public Sector,Delhi,Self-Employed - Startup,8.8,0.53,300000,14604822,5,30,2,0,20800,2345237,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
17,SBI,Public Sector,Delhi,Women Applicants,8.6,0.5,300000,9183117,5,30,2,2,20800,2379419,"No processing fee for women applicants, 0.05% concession for CASA customers, 0.05% interest concession",2026-03-31
18,SBI,Public Sector,Delhi,Senior Citizens,8.75,0.59,300000,13382046,5,30,2,3,20800,2353711,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
19,SBI,Public Sector,Delhi,NRIs,8.85,0.33,300000,13300510,5,30,2,3,20800,2336811,"No processing fee for women applicants, 0.05% concession for CASA customers, Special NRI home loan schemes",2026-03-31
20,SBI,Public Sector,Delhi,First Time Home Buyers,8.65,0.6,300000,6410091,5,30,0,2,20800,2370801,"No processing fee for women applicants, 0.05% concession for CASA customers, Subsidy under PMAY scheme",2026-03-31
21,SBI,Public Sector,Bangalore,Salaried - IT/Corporate,9.2,0.5,300000,11669058,5,30,0,3,23200,2542107,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
