city,avg_property_price,loan_amount_80pct,avg_rate_pct,tenure_years,emi_monthly_min,emi_monthly_avg,emi_monthly_max,monthly_salary,emi_burden_pct,is_affordable,extracted_at
Kolkata,3600000,2880000,6.76,20,29888.18,27392.82,25005.34,26667,102.7,False,2026-03-22
Mumbai,14625000,11700000,6.76,20,121420.74,111283.34,101584.2,35000,318.0,False,2026-03-22
Bangalore,5850000,4680000,6.76,20,48568.29,44513.33,40633.68,38333,116.1,False,2026-03-22
Delhi,6150000,4920000,6.76,20,51058.98,46796.07,42717.46,31667,147.8,False,2026-03-22
Hyderabad,4875000,3900000,6.76,20,40473.58,37094.45,33861.4,34167,108.6,False,2026-03-22
Chennai,4650000,3720000,6.76,20,38605.57,35382.39,32298.57,32500,108.9,False,2026-03-22
Pune,5400000,4320000,6.76,20,44832.27,41089.23,37508.01,33333,123.3,False,2026-03-22
Ahmedabad,3375000,2700000,6.76,20,28020.17,25680.77,23442.51,28333,90.6,False,2026-03-22
Jaipur,3150000,2520000,6.76,20,26152.16,23968.72,21879.67,25000,95.9,False,2026-03-22
Indore,2850000,2280000,6.76,20,23661.48,21685.98,19795.9,23333,92.9,False,2026-03-22
Lucknow,2700000,2160000,6.76,20,22416.14,20544.62,18754.01,23333,88.0,False,2026-03-22
Surat,3075000,2460000,6.76,20,25529.49,23398.03,21358.73,25833,90.6,False,2026-03-22
Nagpur,2925000,2340000,6.76,20,24284.15,22256.67,20316.84,24167,92.1,False,2026-03-22
Bhopal,2625000,2100000,6.76,20,21793.47,19973.93,18233.06,22500,88.8,False,2026-03-22
Coimbatore,3450000,2760000,6.76,20,28642.84,26251.45,23963.45,25000,105.0,False,2026-03-22
Patna,2400000,1920000,6.76,20,19925.45,18261.88,16670.23,20833,87.7,False,2026-03-22
Chandigarh,4350000,3480000,6.76,20,36114.89,33099.66,30214.79,27500,120.4,False,2026-03-22
Bhubaneswar,2775000,2220000,6.76,20,23038.81,21115.3,19274.95,22500,93.8,False,2026-03-22
Kochi,4500000,3600000,6.76,20,37360.23,34241.03,31256.68,27500,124.5,False,2026-03-22
Guwahati,2550000,2040000,6.76,20,21170.8,19403.25,17712.12,21667,89.6,False,2026-03-22
