city,auto_base_inr,auto_per_km_inr,city_bus_inr,ac_bus_per_km_inr,scraped_date
Ahmedabad,15,10.0,10,1.6,2026-03-22
Bangalore,30,15.0,12,2.0,2026-03-22
Bhopal,15,10.0,8,1.4,2026-03-22
Chennai,25,12.0,10,1.7,2026-03-22
Coimbatore,20,11.0,8,1.5,2026-03-22
Delhi,30,11.0,15,1.5,2026-03-22
Hyderabad,25,12.0,12,1.8,2026-03-22
Indore,15,10.0,10,1.5,2026-03-22
Jaipur,20,11.0,10,1.6,2026-03-22
Kanpur,15,10.0,8,1.4,2026-03-22
Kolkata,25,12.0,8,1.5,2026-03-22
Lucknow,20,10.0,10,1.6,2026-03-22
Ludhiana,15,10.0,8,1.4,2026-03-22
Mumbai,23,14.97,15,1.8,2026-03-22
Nagpur,17,11.0,10,1.5,2026-03-22
Patna,15,10.0,8,1.3,2026-03-22
Pune,23,14.0,12,1.9,2026-03-22
Surat,15,10.0,8,1.5,2026-03-22
Vadodara,15,10.0,8,1.4,2026-03-22
Visakhapatnam,20,11.0,8,1.5,2026-03-22
